37564	三	七	五	六	四
4コマ漫画	四	齣	漫画
CM	commercial	message
熊襲	球磨	贈於
熟字訓	熟字	訓
熱帯雨林	熱帯	雨林
熱核兵器	熱核	兵器
熱汚染	熱	汚染
燃え上がる	燃え	上がる
燎原の火	燎原	の	火
燐酸肥料	燐酸	肥料
燹	野	火
爪先	爪	先
爪冠	爪	冠
爪切り	爪	切り
爪弾く	爪	弾く
爪繞	爪	繞
爬虫類	爬虫	類
父ちゃん	父	ちゃん
父の日	父	の	日
爼	真魚	板
片仮名	片	仮名
片利共生	片	利	共生
片親パン	かたおや	パン
牙	牙	歯
牛小屋	牛	小屋
牛氈鹿	牛	氈鹿
牛海綿状脳症	牛	海綿状	脳症
牛羚羊	牛	羚羊
牛舎	牛	舎
牛馬	牛	馬
牛鮫	牛	鮫
牝犬	牝犬	犬
牧場鳥	牧場	鳥
物真似	物	真似
物知り	物	知り
物見遊山	物見	遊山
物言い	物	言い
物騒がしい	物	騒がしい
特別引出権	特別	引出	権
特別支援学級	特別支援	学級
特効薬	特効	薬
特殊効果	特殊	効果
特殊詐欺	特殊	詐欺
特許権	特許	権
犬ころ	犬	子ろ
犬ちゃん	犬	ちゃん
犬も歩けば棒に当たる	犬	も	歩けば	棒	に	当たる
犬小屋	犬	小屋
犬張子	犬	張り子
犬舎	犬	舎
犬釘	犬	釘
犬鮫	犬	鮫
狐猿	狐	猿
狙撃銃	狙撃	銃
狩猟小屋	狩猟	小屋
独楽	高麗	つ	繰り
独立記念日	独立	記念日
狼人間	狼	人間
狼女	狼	女
狼男	狼	男
猛獣	猛	獣
猟虎	猟	虎
猪	猪	の	獣
猪鹿蝶	猪	鹿	蝶
猫糞	猫	糞#baba
猫額	猫	額
猫鮫	猫	鮫
猶予	猶	予
猶予期間	猶予	期間
猿芝居	猿	芝居
獣	毛	だ	物
獣の数字	獣	の	数字
獣耳	獣	耳
玄孫	やしわ	子
玄米茶	玄米	茶
玉将	玉	将
玉屋	玉	屋
玉蜀黍	唐	もろこし
玉露	玉	露
王将	王	将
王様ペンギン	王様	ペンギン
王道進行	王道	進行
玩具	御	持ち遊び
珊瑚礁	珊瑚	礁
珪土	珪	土
珪素鋼	珪素	鋼
班田	班	田
現を抜かす	現	を	抜かす
現代仮名遣い	現代	仮名遣い
現代劇	現代	劇
現在地	現在	地
現在完了	現在	完了
現在時制	現在	時制
現示	現	示
球形	球	形
球状	球	状
理想主義	理想	主義
理解不能	理解	不能
琴	木	音
琴鳥	琴	鳥
環	手	巻き
環境依存文字	環境	依存	文字
環境汚染	環境	汚染
環状線	環状	線
璽	御	璽
甕	御	か
甘っちょろい	甘	っ	ちょろい
甘噛み	甘	噛み
甘木	甘	木
甘草	甘	草
甘草エキス	甘草	エキス
甚だしい	甚だ	しい
甚兵衛鮫	甚兵衛	鮫
甚平鮫	甚平	鮫
生き作り	生き	作り
生き甲斐	生きる	甲斐
生き返る	生き	返る
生け花	生け	花
生っちょろい	生	っ	ちょろい
生傾城	生き	傾城
生剥	生	剥ぎ
生命中心主義	生命	中心	主義
生地	生	地
生存権	生存	権
生年月日	生	年	月	日
生意気	生	意気
生放送	生	放送
生日	生く	日
生殺し	生	殺し
生水	生	水
生物兵器	生物	兵器
生物時計	生物	時計
生真面目	生	真面目
生計を立てる	生計	を	立てる
用いる	持ち	率る
用務員	用務	員
用言	用	言
用途変更	用途	変更
田中	田	中
田舎	居	中
甲	木	の	兄
甲乙	甲	乙
甲烏賊	甲	烏賊
申し訳ありません	申し訳	ありません
男	男	の	子
男の子	男	の	子
男の子子	男の子	子
男体盛り	男体	盛り
男性稼ぎ主モデル	男性	稼ぎ主	モデル
男手	男	手
男根崇拝	男根	崇拝
男殺し	男	殺し
男神	男	神
町家	町	家
画像処理	画像	処理
画商	画	商
画図	画	図
畜殺場	畜殺	場
略取誘拐罪	略取	誘拐	罪
番付	番	付け
番犬	番	犬
異体仮名	異体	仮名
異体同心	異体	同心
異国	異	国
異性化糖	異性化	糖
異民族	異	民族
異種格闘技戦	異種	格闘技	戦
疑似科学	疑似	科学
疑問符	疑問	符
疱瘡	疱	瘡
病は気から	病	は	気	から
病友	病	友
病後	病	後
痛くも痒くもない	痛く	も	痛い	も	ない
痩せこける	痩せる	こける
瘤牛	瘤	牛
瘤白鳥	瘤	白鳥
癇に障る	癇	に	障る
癇癪玉	癇癪	玉
癇癪筋	癇癪	筋
癒し系	癒し	系
癸	水	の	弟
発売禁止	発売	禁止
発展途上国	発展	途上	国
発泡酒	発泡	酒
発癌物質	発癌	物質
発禁本	発禁	本
発芽玄米	発芽	玄米
白ワイン	白	ワイン
白人	白	人
白兎	白	兎
白口錦蛇	白	口	錦蛇
白土	白	土
白堊館	白堊	館
白梟	白	梟
白河	白	河
白湯	白	湯
白滝	白	滝
白無垢	白	無垢
白熊	白	熊
白熱電球	白熱	電球
白犀	白	犀
白腹	白	腹
白舵木	白	舵木
白色テロ	白色	テロ
白葡萄酒	白	葡萄酒
白蟻	白	蟻
白血球	白	血球
白詰草	白	詰草
白質	白	質
白身	白	身
白酒	白	酒
白金	白	金
白雪	白	雪
白魔術	白	魔術
白鮫	白	鮫
白鳥	白	鳥
白鶺鴒	白	鶺鴒
白鷺	白	鷺
百十	百	十
百回	百	回
百日紅	猿	滑り
百舌	百	す
百足	向かい	手
的	目	所
皆さん	皆	さん
皇の花	天皇	の	花
皇国	皇	国
皇帝ペンギン	皇帝	ペンギン
皮虫	皮	虫
益荒	増す	ら
益荒男振り	益荒男	振り
盗電	盗	電
監視網	監視	網
盤纏	盤	纏
目の敵にする	目の敵	に	する
目もくれない	目	も	くれない
目を盗む	目	を	盗む
目を配る	目	を	配る
目一杯	目	一杯
目垢	目	垢
目玉焼き	目玉	焼き
目白鮫	目白	鮫
目糞	目	糞
目脂	目	脂
目覚まし	目	覚まし
目覚まし時計	目覚まし	時計
盲腸	盲	腸
盲腸炎	盲腸	炎
直刃	直ぐ	刃
直垂	直	垂れ
直観幾何	直観	幾何
直談判	直	談判
相利共生	相	利	共生
相合傘	相合	傘
相対湿度	相対	湿度
相対音感	相対	音感
相違点	相違	点
省エネルギー	省	エネルギー
省庁	省	庁
眉を顰める	眉	を	顰める
眉根を寄せる	眉根	を	寄せる
看板娘	看板	娘
看護婦	看護	婦
真っ平御免	真っ平	御免
真に受ける	真	に	受ける
真ん中	真ん	中
真ん丸	真ん	丸
真土	真	土
真夜中	真	夜	中
真孔雀	真	孔雀
真物	真	物
真犯人	真	犯人
真珠貝	真珠	貝
真理値	真理	値
真理値表	真理値	表
真秀	真	秀
真空パック	真空	パック
真空包装	真空	包装
真空管	真空	管
真者	真	者
真青	真	さ青
真面	真	つ	面
真鴨	真	鴨
真鶸	真	鶸
眠り薬	眠り	薬
眺める	長	む
眼鏡	目	金
眼鏡っ娘	眼鏡	娘
眼鏡カイマン	眼鏡	カイマン
眼鏡入れ	眼鏡	入れ
眼鏡熊	眼鏡	熊
眼鏡猿	眼鏡	猿
着替える	着	替える
睦仁	睦	仁
睦月	睦	月
睾丸	睾	丸
瞬く	目	叩く
瞳孔反応	瞳孔	反応
矢柄	矢	柄
知る由もない	知る	由	も	ない
知恵の書	知恵	の	書
知恵の輪	知恵	の	輪
知恵を絞る	知恵	を	絞る
短冊	短	冊
短刀	短	刀
短時間	短	時間
短期大学	短期	大学
短気は損気	短気	は	損気
石ころ	石	子ろ
石井	石	井
石塊	石	塊
石塚	石	塚
石居	石	居
石川県	石川	県
石斑魚	鵜	食い
石村	石	村
石油ストーブ	石油	ストーブ
石渡	石	渡
石灰	石	灰
石炭	石	炭
石炭酸	石炭	酸
石綿	石	綿
石蹴	石	蹴り
砂上の楼閣	砂	上	楼閣
砂地	砂	地
砂子	砂	な	子
砂時計	砂	時計
砂漠黒コブラ	砂漠	黒	コブラ
砂糖屋	砂糖	屋
砂蚤	砂	蚤
砒化水素	砒化	水素
研究生	研究	生
砕氷船	砕氷	船
砲丸	砲	丸
砲丸投	砲丸	投
破城槌	破	城	槌
破壊工作	破壊	工作
破屋	破れ	屋
破裂音	破裂	音
破魔	破	魔
破魔矢	破魔	矢
破魔術	破魔	術
砵市	砵	市
硝子	硝	子
硝子体	硝子	体
硫化水素	硫化	水素
硫黄	湯	泡
硫黄島	硫黄	島
硬度	硬	度
磨ぎ汁	磨ぎ	汁
磯巾着	磯	巾着
礼次郎	礼次	郎
礼金	礼	金
社会制度	社会	制度
社適	社会	適合
祓戸	祓	戸
祓魔	祓	魔
祓魔術	祓魔	術
祖神	祖	神
神の子羊	神	の	子羊
神人	神	人
神代文字	神代	文字
神体	神	体
神奈川県	神奈川	県
神宮	神	宮
神戸	神	戸
神木	神	木
神札	神	札
神村	神	村
神棚	神	棚
神楽	神	座
神楽笛	神楽	笛
神楽鈴	神楽	鈴
神無月	神	な	月
神経科学	神経	科学
神通力	神通	力
神酒	神	酒
神風	神	風
禁じ得ない	禁じる	得ない
禁制帯	禁制	帯
禁書目録	禁書	目録
福井県	福井	県
福岡県	福岡	県
福島	福	島
福島県	福島	県
禿頭病	禿頭	病
私す	私	す
私する	私	する
私書箱	私書	箱
私立学校	私立	学校
秋津島	秋	津	島
秋田県	秋田	県
秋葉	秋	葉
秋雨	秋	雨
科学博物館	科学	博物館
科負比丘尼	科	負い	比丘尼
秒読み	秒	読み
秦	秦	秦
税制調査会	税制	調査会
稚児隼	稚児	隼
種子島	種	が	島
稲妻	稲	妻
稲幹	稲	幹
稲荷	稲	生る
積み木	積み	木
積ん読	積む	読
積木	積み	木
穴兎	穴	兎
穴子	穴	子
穴熊	穴	熊
究竟涅槃	究竟	涅槃
空き家	空き	家
空手	空	手
空梅雨	空	梅雨
空模様	空	模様
空港	空	港
空間計算量	時間	計算量
空鼾	空	鼾
突きん棒	突き	ん	棒
突拍子も無い	突拍子	も	ない
窒素	窒	素
窓辺	窓	辺
窓際族	窓際	族
立ちはだかる	立ち	開かる
立ち聞き	立つ	聞く
立ち食い	立ち	食い
立位	立	位
立入禁止	立ち入り	禁止
立心偏	立	心	偏
立方メートル	立方	メートル
立方根	立方	根
立花	立ち	花
立行司	立て	行司
竜の落とし子	竜	の	落とし子
竜巻	竜	巻き
竪琴海豹	竪琴	海豹
端を発する	端	を	発する
競合状態	競合	状態
競歩	競	歩
竹蜻蛉	竹	蜻蛉
竹輪	竹	輪
竹馬	竹	馬
竹馬の友	竹馬	の	友
笑い飛ばす	笑い	飛ばす
笑覧	笑	覧
第一人者	第	一人	者
第三国	第	三国
第三次世界大戦	第三次	世界大戦
第三紀	第三	紀
第九	第	九
第二次性徴	第二次	性徴
第四紀	第四	紀
笹かまぼこ	笹	蒲鉾
笹団子	笹	団子
筆	文	手
筆ペン	筆	ペン
筆下ろし	筆	下ろし
筆五	筆	五
箋	文	板
箍が外れる	箍	が	外れる
箏	木	音
箒	羽	掃き
箒星	箒	星
箔を付ける	箔	を	付ける
算譜	算	譜
管制塔	管制	塔
箱信者	箱	信者
箱入り娘	箱入り	娘
節分	節	分
節句	節	供
篝火	篝	火
篝火草	篝火	草
篝籠	篝	籠
篠原	篠	原
篠笛	篠	笛
篦鷺	篦	鷺
簡易ネットワーク管理プロトコル	簡易	ネットワーク	管理	プロトコル
簡易メール転送プロトコル	簡易	メール	転送	プロトコル
簪	髪	挿し
簫の笛	簫	の	笛
籠目	籠	目
籠目紋	籠目	紋
米ソ冷戦	米	ソ	冷戦
米ドル	米	ドル
米国	米	國
米国電気電子学会	米国	電気	電子	学会
粉物	粉	物
粉骨砕身	粉骨	砕身
精神分裂病	精神	分裂	病
精神安定剤	精神	安定剤
精神療法	精神	療法
精進料理	精進	料理
精飲	精	飲
糖原病	糖原	病
糖尿	糖	尿
糖尿病	糖尿	病
糖質	糖	質
糞まる	糞	放る
糞垂れ	糞	垂れ
糞餓鬼	糞	餓鬼
糟鮫	糟	鮫
糸雨	糸	雨
約束手形	約束	手形
紅夷	赤	蝦夷
紅差し指	紅	差し	指
紅毛	紅	毛
紅葉狩	紅葉	狩
紅蓮地獄	紅蓮	地獄
紅鶴	紅	鶴
紋所	紋	所
納税	納	税
納言	物申す	司
純愛	純	愛
純林	純	林
紙コップ	紙	コップ
紙巻き	紙	巻き
紙巻きたばこ	紙巻き	タバコ
素っぴん	素っ	嬪
素泊まり	素	泊まる
素泊り	素	泊まる
素知らぬ	素	知らぬ
素股	素	股
索引	索	引
紫	群	咲き
紫丁香花	紫	丁香花
紫色	紫	色
累進課税	累進	課税
紺青	紺	青
絁	悪し	絹
終わったコンテンツ	終わった	コンテンツ
終電車	終	電車
組踊り	組	踊り
経口	経	口
経験値	経験	値
結びの神	産霊	の	神
結婚式	結婚	式
結婚指輪	結婚	指輪
結婚記念日	結婚	記念日
結社の自由	結社	の	自由
絞首	絞	首
絞首刑	絞首	刑
絡繰り人形	絡繰り	人形
絡繰り時計	絡繰り	時計
絨毯爆撃	絨毯	爆撃
統仁	統	仁
統合失調症	統合	失調	症
統語論	統語	論
統辞論	統辞	論
絵に描いた餅	絵	に	描く	餅
絵コンテ	絵	コンテ
絵日記	絵	日記
絵馬	絵	馬
絶え間ない	絶え間	ない
絶対値	絶対	値
絶対湿度	絶対	湿度
絶対音感	絶対	音感
絹の道	絹	の	道
絹モスリン	絹	モスリン
絹糸	絹	糸
綱引き	綱	引き
網棚	網	棚
網目錦蛇	網目	錦蛇
綿帽子	綿	帽子
綿棒	綿	棒
綿花	綿	花
緊急地震速報	緊急	地震	速報
緊急逮捕	緊急	逮捕
緊縛	緊	縛
緊縛美	緊縛	美
総務相	総務	相
総務省	総務	省
総合格闘技	総合	格闘技
総本山	総	本山
総理大臣	総理	大臣
総統	総	統
緑のカーテン	緑	の	カーテン
緑地帯	緑地	帯
緑川	緑	川
緑色	緑	色
緑色凝灰岩	緑色	凝灰岩
緑色片岩	緑色	片岩
緑錦蛇	緑	錦蛇
緑青色	緑青	色
線形動物	線形	動物
編木	編	簓
編集合戦	編集	合戦
縁起でもない	縁起	でも	ない
縁起物	縁起	物
縛り手	縛り	手
縞栗鼠	縞	栗鼠
縞猫鮫	縞	猫鮫
縦	欲しい	儘
縦波	縦	波
縦笛	縦	笛
縺れ髪	縺れ	髪
繊維光学	繊維	光学
繰り返す	繰り	返す
罠猟師	罠	猟師
置き場	置き	場
羅府	羅	府
羆	緋	熊
羊	日	辻
羊乳	羊	乳
美人	顔	良	人
美味しい	御	美しい
美和	美	和
美和子	美和	子
美少女	美	少女
美肌	美	肌
美術品商	美術品	商
群雄割拠	群雄	割拠
群馬県	群馬	県
羨む	心	病む
義兄弟	義	兄弟
義勇兵	義勇	兵
義務付ける	義務	付ける
義妹	義	妹
義姉	義	姉
義訓	義	訓
羯鼓	羯	鼓
羹	あつ	もの
老い子	老いる	子
老人ホーム	老人	ホーム
老婦人	老	婦人
老子道徳経	老子	道徳経
老舗	老	舗
老若男女	老若	男女
耕す	田	返す
耳を傾ける	耳	を	傾ける
耳を貸す	耳	を	貸す
耳切り	耳	切る
耳削ぎ	耳	削ぐ
耳障り	耳	障り
聖林	聖	林
聞きなさい	聞き	なさい
聞き外す	聞き	外す
聞き損なう	聞き	損なう
聞き漏らす	聞き	漏らす
聞き落とす	聞き	落とす
聞き逃す	聞き	逃す
職場	職	場
肉エキス	肉	エキス
肉体美	肉体	美
肉棒	肉	棒
肉食動物	肉食	動物
肋肉	肋	肉
肋骨	肋	骨
肌で知る	肌	で	知る
肌寒い	肌	寒い
肛門性交	肛門	性交
肝が冷える	肝	が	冷える
肝が据わる	肝	が	据わる
肝を冷やす	肝	を	冷やす
肝試し	肝	試し
肥後守	肥後	の	守
肥沃な三日月地帯	肥沃	な	三日月	地帯
肥立つ	日	立つ
肩透かしを食わせる	肩透かし	を	食わせる
肴	酒	菜
肺結核	肺	結核
胃痙攣	胃	痙攣
胆嚢炎	胆嚢	炎
背負う	背	負う
背骨	背	骨
背黒ジャッカル	背	黒	ジャッカル
胡座	胡	床
胡獱	胡	獱
胡麻塩	胡麻	塩
胡麻斑海豹	胡麻斑	海豹
胡麻油	胡麻	油
胤違い	胤	違い
胸	身	根
胸がすく	胸	が	すく
胸がつかえる	胸	が	つかえる
胸が一杯になる	胸	が	一杯	に	なる
胸が騒ぐ	胸	が	騒ぐ
胸ぐらを掴む	胸ぐら	を	掴む
胸に手を当てる	胸	に	手	を	当てる
胸に手を置く	胸	に	手	を	置く
胸を借りる	胸	を	借りる
胸を張る	胸	を	張る
胸を撫で下ろす	胸	を	撫で下ろす
胸を貸す	胸	を	貸す
胸三寸	胸	三寸
胸当て	胸	当て
胸毛	胸	毛
胸焼け	胸	焼け
胸苦しい	胸	苦しい
能管	能	管
脂肪族	脂肪	族
脂肪酸	脂肪	酸
脇が甘い	脇	が	甘い
脇差	脇	差
脈拍計	脈拍	計
脱コロナ	脱	コロナ
脱マスク	脱	マスク
脱分極	脱	分極
脱塩	脱	塩
脱字	脱	字
脱毛	脱	毛
脱水	脱	水
脱窒	脱	窒
脱衣花札	脱衣	花札
脱衣麻雀	脱衣	麻雀
脳死	脳	死
脳炎	脳	炎
腕を振るう	腕	を	振るう
腕相撲	腕	相撲
腕立て伏せ	腕	立て	伏せ
腕輪	腕	輪
腥	生	臭
腰抜け	こし	抜け
腰明蜻蛉	腰	明き	蜻蛉
腰骨	腰	骨
腰鼓	腰	鼓
腸	腹	腸
腸が煮えくり返る	腸	が	煮えくり返る
腸内細菌	腸内	細菌
腹が減る	腹	が	減る
腹ごなし	腹	熟し
腹を割る	腹	を	割る
腹を括る	腹	を	括る
腹八分目に医者要らず	腹	八分	目	に	医者	要らず
腹膜炎	腹膜	炎
腹芸	腹	芸
腺疫	腺	疫
膀胱炎	膀胱	炎
膏薬	膏	薬
膕	引き	屈み
膝の皿	膝	の	皿
膝皿	膝	皿
膝蓋骨	膝蓋	骨
膝頭	膝	頭
膨らむ	膨, 脹	む
膨れっ面	膨れ	面
膨大	膨	大
臍の緒	臍	の	緒
臍を曲げる	臍	を	曲げる
臍猪	臍	猪
臍繰り金	綜麻	繰り
自ずから	己	つ	柄
自ずと	己	つ	と
自ら	身	つ	柄
自分本位	自分	本位
自動小銃	自動	小銃
自動詞	自動	詞
自問自答	自問	自答
自堕落	自	堕落
自宅待機	自宅	待機
自宅警備	自宅	警備
自宅警備員	自宅	警備員
自害	自	害
自家発電	自家	発電
自己意識	自己	意識
自己敗北	自己	敗北
自己暗示	自己	暗示
自己満足	自己	満足
自己破壊	自己	破壊
自律神経系	自律	神経系
自意識	自	意識
自意識過剰	自	意識	過剰
自我意識	自我	意識
自死	自	死
自殺未遂	自殺	未遂
自決	自	決
自然保護区	自然	保護区
自然対数	自然	対数
自然現象	自然	現象
自然言語処理	自然言語	処理
自然言語理解	自然	言語	理解
自然選択	自然	選択
自爆テロ	自爆	テロ
自由刑	自由	刑
自由戦士	自由	戦士
自覚症状	自覚	症状
自警団員	自警団	員
自転車	自	転	車
自転車道	自転車	道
自鳴琴	自	鳴	琴
興亡	興	亡
舊式	舊	式
舌先三寸	舌先	三寸
舌炎	舌	炎
舞い踊る	舞う	踊る
舞姫	舞	姫
舞子	舞	子
舞茸	舞	茸
舟艇	舟	艇
航空宇宙	航空	宇宙
航空宇宙工学	航空宇宙	工学
航空管制官	航空	管制	官
舵を切る	舵	を	切る
船尾楼	船尾	楼
船尾楼甲板	船尾楼	甲板
船艇	船	艇
船長	船	長
船食虫	船	食い	虫
色力学	色	力学
色欲	色	欲
色無地	色	無地
色眼鏡	色	眼鏡
色褪せる	色	褪せる
色鉛筆	色	鉛筆
艶文	艶	文
艶書	艶	書
芋い	芋	い
芋虫	芋	虫
芝	し	様
花キャベツ	花	キャベツ
花冷え	花	冷え
花占い	花	占い
花札	花	札
花柳病	花柳	病
花独活	花	独活
花甘藍	花	甘藍
花蜂	花	蜂
花見	花	見
花輪	花	輪
花道	花	道
花魁鳥	花魁	鳥
芳しい	香	くわし
芸子	芸	子
芸者	芸	者
芽キャベツ	芽	キャベツ
苔玉	苔	玉
苛めっ子	苛める	子
若君	若	君
若者言葉	若者	言葉
苦に病む	苦	に	病む
苦瓜	苦	瓜
苧	殻	苧
英字	英	字
英数	英	数
苺	斎	血	彦
茉莉花茶	茉莉花	茶
茜	赤	根
茜さす	茜	差す
茣蓙	御座	筵
茨城県	茨城	県
茶にする	茶	に	する
茶の間	茶	間
茶葉	茶	葉
茸	草	片
草仮名	草	仮名
草原	草	原
草薙剣	草	薙	の	剣
草鞋	藁	靴
草食動物	草食	動物
草食系	草食	系
荊榛	荊	榛
荒ぶ	荒らし	ぶ
荒唐無稽	荒唐	無稽
荒土	荒	土
荒城	荒	城
荒海	荒	海
荒磯	荒	磯
荒魂	荒	御	霊, 魂
菖蒲	漢	女
菘	鈴	菜
菠薐草	菠薐	草
菩提薩埵	菩提	薩埵
菲国	菲	国
萁	豆	殻
葉切蟻	葉切	蟻
葉巻き	葉	巻き
葉巻きたばこ	葉巻き	タバコ
葡国	葡	国
葡萄栽培	葡萄	栽培
葡萄糖	葡萄	糖
葡萄膜炎	葡萄膜	炎
葡萄色	葡萄	色
葦火	葦	火
葬り去る	葬り	去る
葱	根	葱
蒙古野馬	蒙古	野馬
蒙古馬	蒙古	馬
蒲鉾	蒲	鉾
蒸気機関車	蒸気	機関車
蓮	蜂	巣
蓼食う虫も好き好き	蓼	食う	虫	も	好き好き
蔓茘枝	蔓	茘枝
蕎麦	蕎	麦
蕎麦汁	蕎麦	汁
蕗草	蕗	草
蕪菜	蕪	菜
薄い本	薄い	本
薄気味悪い	薄	気味	悪い
薄羽黄蜻蛉	薄	羽	黄蜻蛉
薄色海豚	薄色	海豚
薔薇園	薔薇	園
薔薇戦争	薔薇	戦争
薔薇羽太	薔薇	羽太
薩摩芋	薩摩	芋
薬指	薬	指
藍	青	居
藤原	藤	原
藩医	藩	医
藪柑子	藪	柑子
藪犬	藪	犬
藪蕎麦	藪	蕎麦
藻玉	藻	玉
虎斑鮫	虎斑	鮫
虎穴に入らずんば虎子を得ず	虎穴	に	入らず	んば	虎子	を	得ず
虎鮫	虎	鮫
虚儀	虚	儀
虚勢を張る	虚勢	を	張る
虚数単位	虚数	単位
虫垂	虫	垂
虫歯	虫	歯
虫眼鏡	虫	眼鏡
虬	水	つ	霊
虹彩炎	虹彩	炎
蚊の姥	蚊	の	姥
蚊取り	蚊	取り
蚊取り線香	蚊取り	線香
蚊帳の外	蚊帳	の	外
蚊蜻蛉	蚊	蜻蛉
蚕	飼い	蚕
蚯蚓蜥蜴	蚯蚓	蜥蜴
蛇皮	蛇	皮
蛇皮線	蛇皮	線
蛋白質分解酵素	蛋白質	分解	酵素
蛍火	蛍	火
蛤	浜	栗
蛸焼き	蛸	焼き
蜂鳥	蜂	鳥
蜜月	蜜	月
蝙蝠傘	蝙蝠	傘
蝙蝠扇	蝙蝠	扇
蝦夷栗鼠	蝦夷	栗鼠
蝦夷狼	蝦夷	狼
蝦蟇	蟇	蛙
蝦蟇口	蝦蟇	口
蝦錠	海老	錠
蝶番	蝶	番
蝶番関節	蝶番	関節
蝶結び	蝶	結び
蝶鮫	蝶	鮫
螳螂	鎌	切り
螵蛸	祖父	が	陰嚢
螺子	螺	子
螺旋形	螺旋	形
蟷螂	鎌	切り
蟹食海豹	蟹	食い	海豹
蟻	蟻	の	子
蟻の子	蟻	の	子
蟻地獄	蟻	地獄
蟻食	蟻	食い
蠅地獄	蠅	地獄
血圧計	血圧	計
血塗れ	血	塗れ
血族関係	血族	関係
血液型占い	血液型	占い
血目	血	目
血眼	血	眼
血糊	血	糊
血糖	血	糖
血糖値	血糖	値
血迷う	血	迷う
行き当たる	行き	当たる
行き悩む	行き	悩む
行き止まり	行き	止まり
行き違い	行き	違い
行方	行く	辺
行方不明	行方	不明
行番号	行	番号
衍字	衍	字
衛生兵	衛生	兵
衛門府	衛門	府
衝動買い	衝動	買い
衝撃波	衝撃	波
衣	着	布
衣虱	衣	虱
衣類	衣	類
表	面	手
表す	露	す
表沙汰	表	沙汰
表現の自由戦士	表現の自由	戦士
表面張力	表面	張力
袂を分かつ	袂	を	分かつ
袋小路	袋	小路
袋狐	袋	狐
袋狼	袋	狼
袋蟻食	袋	蟻食
袖	衣	手
袖口	袖	口
被写体	被	写	体
被災地	被災	地
裁判員	裁判	員
裁判官	裁判	官
裁判権	裁判	権
裏側	裏	側
裏切り	裏	切る
裏切る	裏	切る
裏声	裏	声
裏箔	裏	箔
裏表紙	裏	表紙
裏返す	裏	返す
裕仁	裕	仁
裸	肌	赤
裸出歯鼠	裸	出歯鼠
裸参り	裸	参り
裸足	肌	足
裸足で逃げる	裸足	で	逃げる
製炭	製	炭
複合汚染	複合	汚染
複式簿記	複式	簿記
褐色ペリカン	褐色	ペリカン
褐色木炭	褐色	木炭
襟元	襟	元
襤褸が出る	襤褸	が	出る
襤褸を出す	襤褸	を	出す
西	去に	し
西ドイツ	西	ドイツ
西フリジア語	西	フリジア語
西側諸国	西側	諸国
西口	西	口
西夏文字	西夏	文字
西洋将棋	西洋	将棋
西洋紙魚	西洋	紙魚
西洋薄荷	西洋	薄荷
西灰色ペリカン	西	灰色	ペリカン
西瓜割り	西瓜	割り
西角目鳥	西	角目鳥
要出典	要	出典
見える	目	見ゆ
見せる	見	す
見ゆ	見	ゆ
見る影もない	見る	影	も	ない
見事	見	事
見比べる	見	比べる
見立て殺人	見立て	殺人
見聞	見	聞
見聞き	見	聞き
見込み違い	見込み	違い
見送る	見	送る
見限る	見	限る
視力検査表	視力	検査	表
視力表	視力	表
視床下部	視床	下部
覚悟を決める	覚悟	を	決める
親ガチャ	親	ガチャ
親子丼	親	子	丼
親指	親	指
親文字	親	文字
親方日の丸	親方	日の丸
親父	親	父
親知らず	親	知らず
観世音菩薩	観世音	菩薩
観桜	観	桜
観自在菩薩	観自在	菩薩
観覧車	観覧	車
観音菩薩	観音	菩薩
角括弧	角	括弧
角目鳥	角	目	鳥
角行	角	行
角鮫	角	鮫
解決	解	決
触腕	触	腕
言いたい放題	言う	放題
言わずもがな	言わず	も	がな
言わば	言わ	ば
言葉狩り	言葉	狩り
言葉遣い	言葉	遣い
言論の自由	言論	の	自由
計画を立てる	計画	を	立てる
計画停電	計画	停電
計算式	計算	式
討ち取る	討ち	取る
討ち果たす	討ち	果たす
討ち死に	討ち	死に
討ち滅ぼす	討ち	滅ぼす
討ち漏らす	討ち	漏らす
訓令式	訓令	式
訓読み	訓	読み
記名投票	記名	投票
記念スタンプ	記念	スタンプ
記念碑	記念	碑
診察場	診察	場
診察室	診察	室
試みる	心	見る
試着室	試着	室
試聴室	試聴	室
詰め込み教育	詰め込み	教育
詰草	詰め	草
話を切り出す	話	を	切り出す
話半分	話	半分
認知度	認知	度
認識票	認識	票
誓う	血	交う
語彙素	語彙	素
語形変化	語形	変化
誤字る	誤字	る
説き付ける	説く	付ける
説き伏せる	説き	伏せる
読みこなす	読み	こなす
読み切る	読み	切る
誰も彼も	誰	も	彼	も
請求書	請求	書
論外	論	外
論理回路	論理	回路
論理素子	論理	素子
論証幾何	論証	幾何
諸行無常	諸行	無常
謹厳実直	謹厳	実直
識字憂患	識字	憂患
識語	識	語
警備員	警備	員
警備犬	警備	犬
警務官	警務	官
警察庁	警察	庁
警察署長	警察署	長
議長	議	長
讃仏偈	讃仏	偈
豆知識	豆	知識
豆電球	豆	電球
豚の饅頭	豚	の	饅頭
豚もおだてりゃ木に登る	豚	も	煽てりゃ	木	に	登る
豚コレラ	豚	コレラ
豚小屋	豚	小屋
豚脂	豚	脂
豚舎	豚	舎
象海豹	象	海豹
豹紋蛸	豹	紋	蛸
貝合わせ	貝	合わせ
貝独楽	貝	独楽
財布	財	布
財物	財	物
貧乳	貧	乳
貧困撲滅のための国際デー	貧困	撲滅	のための	国際	デー
